iteration,timesteps,iteration_progress,opponent_index,opponent,probability,pool_size,uniform_probability,preference_ratio,opponent_age
2,1740000,0.58,1,H1,0.8,2,0.5,1.6,0
2,1750000,0.5833333333333334,0,Scr,0.2,2,0.5,0.4,
2,1750000,0.5833333333333334,1,H1,0.8,2,0.5,1.6,0
2,1760000,0.5866666666666667,0,Scr,0.2,2,0.5,0.4,
2,1760000,0.5866666666666667,1,H1,0.8,2,0.5,1.6,0
2,1770000,0.59,0,Scr,0.2,2,0.5,0.4,
2,1770000,0.59,1,H1,0.8,2,0.5,1.6,0
2,1780000,0.5933333333333334,0,Scr,0.2,2,0.5,0.4,
2,1780000,0.5933333333333334,1,H1,0.8,2,0.5,1.6,0
2,1790000,0.5966666666666667,0,Scr,0.2,2,0.5,0.4,
2,1790000,0.5966666666666667,1,H1,0.8,2,0.5,1.6,0
2,1800000,0.6,0,Scr,0.2,2,0.5,0.4,
2,1800000,0.6,1,H1,0.8,2,0.5,1.6,0
2,1810000,0.6033333333333334,0,Scr,0.2,2,0.5,0.4,
2,1810000,0.6033333333333334,1,H1,0.8,2,0.5,1.6,0
2,1820000,0.6066666666666667,0,Scr,0.2,2,0.5,0.4,
2,1820000,0.6066666666666667,1,H1,0.8,2,0.5,1.6,0
2,1830000,0.61,0,Scr,0.2,2,0.5,0.4,
2,1830000,0.61,1,H1,0.8,2,0.5,1.6,0
2,1840000,0.6133333333333333,0,Scr,0.2,2,0.5,0.4,
2,1840000,0.6133333333333333,1,H1,0.8,2,0.5,1.6,0
2,1850000,0.6166666666666667,0,Scr,0.2,2,0.5,0.4,
2,1850000,0.6166666666666667,1,H1,0.8,2,0.5,1.6,0
2,1860000,0.62,0,Scr,0.2,2,0.5,0.4,
2,1860000,0.62,1,H1,0.8,2,0.5,1.6,0
2,1870000,0.6233333333333333,0,Scr,0.2,2,0.5,0.4,
2,1870000,0.6233333333333333,1,H1,0.8,2,0.5,1.6,0
2,1880000,0.6266666666666667,0,Scr,0.2,2,0.5,0.4,
2,1880000,0.6266666666666667,1,H1,0.8,2,0.5,1.6,0
2,1890000,0.63,0,Scr,0.2,2,0.5,0.4,
2,1890000,0.63,1,H1,0.8,2,0.5,1.6,0
2,1900000,0.6333333333333333,0,Scr,0.2,2,0.5,0.4,
2,1900000,0.6333333333333333,1,H1,0.8,2,0.5,1.6,0
2,1910000,0.6366666666666667,0,Scr,0.2,2,0.5,0.4,
2,1910000,0.6366666666666667,1,H1,0.8,2,0.5,1.6,0
2,1920000,0.64,0,Scr,0.2,2,0.5,0.4,
2,1920000,0.64,1,H1,0.8,2,0.5,1.6,0
2,1930000,0.6433333333333333,0,Scr,0.2,2,0.5,0.4,
2,1930000,0.6433333333333333,1,H1,0.8,2,0.5,1.6,0
2,1940000,0.6466666666666666,0,Scr,0.2,2,0.5,0.4,
2,1940000,0.6466666666666666,1,H1,0.8,2,0.5,1.6,0
2,1950000,0.65,0,Scr,0.2,2,0.5,0.4,
2,1950000,0.65,1,H1,0.8,2,0.5,1.6,0
2,1960000,0.6533333333333333,0,Scr,0.2,2,0.5,0.4,
2,1960000,0.6533333333333333,1,H1,0.8,2,0.5,1.6,0
2,1970000,0.6566666666666666,0,Scr,0.2,2,0.5,0.4,
2,1970000,0.6566666666666666,1,H1,0.8,2,0.5,1.6,0
2,1980000,0.66,0,Scr,0.2,2,0.5,0.4,
2,1980000,0.66,1,H1,0.8,2,0.5,1.6,0
2,1990000,0.6633333333333333,0,Scr,0.2,2,0.5,0.4,
2,1990000,0.6633333333333333,1,H1,0.8,2,0.5,1.6,0
2,2000000,0.6666666666666666,0,Scr,0.2,2,0.5,0.4,
2,2000000,0.6666666666666666,1,H1,0.8,2,0.5,1.6,0
2,2010000,0.67,0,Scr,0.2,2,0.5,0.4,
2,2010000,0.67,1,H1,0.8,2,0.5,1.6,0
