iteration,timesteps,iteration_progress,opponent_index,opponent,probability,pool_size,uniform_probability
3,320000,0.16,2,H2,0.5296659322916999,3,0.3333333333333333
3,330000,0.165,0,Scr,0.2,3,0.3333333333333333
3,330000,0.165,1,H1,0.26122915853164475,3,0.3333333333333333
3,330000,0.165,2,H2,0.5387708414683553,3,0.3333333333333333
3,340000,0.17,0,Scr,0.2,3,0.3333333333333333
3,340000,0.17,1,H1,0.26190261815206217,3,0.3333333333333333
3,340000,0.17,2,H2,0.5380973818479379,3,0.3333333333333333
3,350000,0.175,0,Scr,0.2,3,0.3333333333333333
3,350000,0.175,1,H1,0.27251262004707416,3,0.3333333333333333
3,350000,0.175,2,H2,0.5274873799529259,3,0.3333333333333333
3,360000,0.18,0,Scr,0.2,3,0.3333333333333333
3,360000,0.18,1,H1,0.25906945139157606,3,0.3333333333333333
3,360000,0.18,2,H2,0.540930548608424,3,0.3333333333333333
3,370000,0.185,0,Scr,0.2,3,0.3333333333333333
3,370000,0.185,1,H1,0.26097926654412845,3,0.3333333333333333
3,370000,0.185,2,H2,0.5390207334558715,3,0.3333333333333333
